SupplierNo,Supplier Name,Country,Seg.Code,Category code description,Number of Invoices,SRM Type,Created on,Last Invoice date,Currency,Year To Date Spend
1961,Supplier 1961,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,80,APPROVED,22.09.2017,27.07.2018,GBP,"149,323.86"
1962,Supplier 1962,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,24,APPROVED,22.09.2017,27.07.2018,GBP,"219,990.00"
1963,Supplier 1963,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,1,MAJOR,22.09.2017,23.05.2018,GBP,817
1964,Supplier 1964,GB,362317,GREEN SPACE EQUIPMENTS AND AGRICULTURAL EQUIPMENTS,26,APPROVED,22.09.2017,27.07.2018,GBP,"17,446.65"
1965,Supplier 1965,GB,361013,SMALL INDUSTRIAL SUPPLIES,19,APPROVED,22.09.2017,30.05.2018,GBP,"7,446.95"
1966,Supplier 1966,GB,621116,ARCHIVING AREA RENTAL,1,APPROVED,22.09.2017,14.02.2018,GBP,583.68
1967,Supplier 1967,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,2,APPROVED,22.09.2017,31.01.2018,GBP,390
1968,Supplier 1968,GB,601016,WASTE TRUCK TRANSPORT,6,PREFERRED,22.09.2017,07.02.2018,GBP,"2,236.35"
1969,Supplier 1969,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,59,APPROVED,22.09.2017,27.07.2018,GBP,"15,146.59"
1970,Supplier 1970,GB,321415,ACCESS AND SECURITY MAINTENANCE,1,APPROVED,22.09.2017,10.01.2018,GBP,710
1971,Supplier 1971,GB,641120,SPECIFIC EQUIPMENTS,7,APPROVED,22.09.2017,27.07.2018,GBP,"2,693.48"
1972,Supplier 1972,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,11,APPROVED,22.09.2017,30.05.2018,GBP,"8,605.87"
1973,Supplier 1973,GB,641111,HEAVY VEHICLES CHASSIS ACQUISITION,22,APPROVED,22.09.2017,27.07.2018,GBP,"20,779.67"
1974,Supplier 1974,GB,641122,HEAVY VEHICLES SPARE PARTS,2,APPROVED,22.09.2017,27.07.2018,GBP,575.64
1975,Supplier 1975,GB,305612,STEAM TURBINE - MAINTENANCE AND SERVICE,4,PREFERRED,22.09.2017,16.05.2018,GBP,"12,260.50"
1976,Supplier 1976,GB,821099,CONSULTING SERVICES,9,APPROVED,22.09.2017,13.07.2018,GBP,"17,726.67"
1977,Supplier 1977,GB,441201,WASTE INCINERATOR PROCESS TURNKEY,7,APPROVED,22.09.2017,03.07.2018,GBP,"184,848.00"
1978,Supplier 1978,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,3,APPROVED,22.09.2017,02.01.2018,GBP,650
1979,Supplier 1979,GB,641122,HEAVY VEHICLES SPARE PARTS,13,APPROVED,22.09.2017,27.07.2018,GBP,"5,353.48"
1980,Supplier 1980,GB,721410,TRAVEL AGENCY FEES,1,APPROVED,22.09.2017,31.01.2018,GBP,75
1981,Supplier 1981,GB,381099,ANALYSES AND LABORATORY,3,APPROVED,22.09.2017,30.05.2018,GBP,"4,010.00"
1982,Supplier 1982,GB,821199,LEGAL SERVICES,18,APPROVED,22.09.2017,02.07.2018,GBP,"18,642.95"
1983,Supplier 1983,GB,401099,CIVIL AND PUBLIC WORK,51,APPROVED,22.09.2017,02.07.2018,GBP,"28,833.31"
1984,Supplier 1984,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,5,APPROVED,22.09.2017,27.06.2018,GBP,"2,854.62"
1985,Supplier 1985,GB,821099,CONSULTING SERVICES,4,APPROVED,22.09.2017,31.01.2018,GBP,"2,295.00"
1986,Supplier 1986,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,02.01.2018,GBP,"1,200.00"
1987,Supplier 1987,GB,721020,"GENERAL AND TECHNICAL DOCUMENTATION, SUBSCRIPTIONS",2,APPROVED,22.09.2017,16.05.2018,GBP,"2,610.00"
1988,Supplier 1988,GB,701610,COLLECTIVE CATERING,2,APPROVED,22.09.2017,28.03.2018,GBP,278.2
1989,Supplier 1989,GB,641121,HEAVY VEHICLES BODIES AND EQUIPMENTS MAINTENANCE AND REPAIR SERVICES,12,APPROVED,22.09.2017,30.05.2018,GBP,"1,490.45"
1990,Supplier 1990,GB,601016,WASTE TRUCK TRANSPORT,58,APPROVED,22.09.2017,27.07.2018,GBP,"166,597.08"
1991,Supplier 1991,GB,721413,DINING EXPENSES,11,APPROVED,22.09.2017,11.07.2018,GBP,"45,336.71"
1992,Supplier 1992,GB,401099,CIVIL AND PUBLIC WORK,21,APPROVED,22.09.2017,04.07.2018,GBP,"32,437.56"
1993,Supplier 1993,GB,701099,SITE MAINTENANCE AND WORKS,35,APPROVED,22.09.2017,27.07.2018,GBP,"64,244.18"
1994,Supplier 1994,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,02.01.2018,GBP,400
1995,Supplier 1995,GB,701101,"PLANTS, MAINTENANCE OF GREEN SPACES, GARDEN AND ROAD WORK",2,APPROVED,22.09.2017,27.06.2018,GBP,"1,271.00"
1996,Supplier 1996,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,94,APPROVED,22.09.2017,27.07.2018,GBP,"25,546.91"
1997,Supplier 1997,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,11,APPROVED,22.09.2017,27.06.2018,GBP,"9,077.85"
1998,Supplier 1998,GB,621013,SEA GOODS TRANSPORT,1,APPROVED,22.09.2017,26.04.2018,GBP,55
1999,Supplier 1999,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,14,APPROVED,22.09.2017,09.05.2018,GBP,"143,467.53"
2000,Supplier 2000,GB,621013,SEA GOODS TRANSPORT,10,APPROVED,22.09.2017,11.07.2018,GBP,"19,342.00"
2001,Supplier 2001,GB,721414,HOTELS,4,APPROVED,22.09.2017,06.06.2018,GBP,516.67
2002,Supplier 2002,GB,701901,FACILITY MANAGEMENT,6,APPROVED,22.09.2017,27.07.2018,GBP,"111,725.50"
2003,Supplier 2003,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,40,APPROVED,22.09.2017,31.07.2018,GBP,"755,354.09"
2004,Supplier 2004,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,27.06.2018,GBP,159.22
2005,Supplier 2005,GB,362111,"WORK CLOTHES, UNIFORMS - RENTAL AND MAINTENANCE",12,PREFERRED,22.09.2017,27.07.2018,GBP,"19,917.53"
2006,Supplier 2006,GB,721414,HOTELS,1,APPROVED,22.09.2017,11.07.2018,GBP,"5,925.00"
2007,Supplier 2007,GB,641315,CONSTRUCTION MACHINERY MAINTENANCE,1,APPROVED,22.09.2017,14.03.2018,GBP,487.18
2008,Supplier 2008,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,4,APPROVED,22.09.2017,26.04.2018,GBP,"3,019.00"
2009,Supplier 2009,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,73,APPROVED,22.09.2017,27.07.2018,GBP,"258,357.74"
2010,Supplier 2010,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,9,APPROVED,22.09.2017,27.07.2018,GBP,"2,045.66"
2011,Supplier 2011,GB,401099,CIVIL AND PUBLIC WORK,21,APPROVED,22.09.2017,29.01.2018,GBP,"25,969.95"
2012,Supplier 2012,GB,801311,MOBILE PHONE COMMUNICATION SUBSCRIPTION AND CONSUMPTION,3,APPROVED,22.09.2017,02.05.2018,GBP,930
2013,Supplier 2013,GB,401099,CIVIL AND PUBLIC WORK,8,APPROVED,22.09.2017,02.05.2018,GBP,"18,966.52"
2014,Supplier 2014,GB,302018,ELECTRICAL MOTOR - MAINTENANCE AND SERVICE,136,APPROVED,22.09.2017,27.07.2018,GBP,"151,686.23"
2015,Supplier 2015,GB,401199,BUILDING CONSTRUCTION,16,APPROVED,22.09.2017,18.07.2018,GBP,"135,601.39"
2016,Supplier 2016,GB,701211,SECURITY SERVICES,8,APPROVED,22.09.2017,30.05.2018,GBP,"6,017.10"
2017,Supplier 2017,GB,701610,COLLECTIVE CATERING,10,APPROVED,22.09.2017,27.07.2018,GBP,"1,458.96"
2018,Supplier 2018,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,36,APPROVED,22.09.2017,04.04.2018,GBP,"710,192.25"
2019,Supplier 2019,GB,821716,INTERNAL EVENT,1,APPROVED,22.09.2017,02.01.2018,GBP,195
2020,Supplier 2020,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,10.01.2018,GBP,"3,750.43"
2021,Supplier 2021,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,3,APPROVED,22.09.2017,27.07.2018,GBP,"2,045.65"
2022,Supplier 2022,GB,621116,ARCHIVING AREA RENTAL,49,APPROVED,22.09.2017,27.07.2018,GBP,"6,517.31"
2023,Supplier 2023,GB,305410,FIREBRICKS - NEW MATERIAL,3,APPROVED,22.09.2017,29.05.2018,GBP,"214,673.49"
2024,Supplier 2024,GB,401199,BUILDING CONSTRUCTION,1,APPROVED,22.09.2017,30.05.2018,GBP,"1,326.00"
2025,Supplier 2025,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,16.05.2018,GBP,"16,530.00"
2026,Supplier 2026,GB,721414,HOTELS,9,APPROVED,22.09.2017,27.07.2018,GBP,"6,564.49"
2027,Supplier 2027,GB,821099,CONSULTING SERVICES,1,APPROVED,22.09.2017,02.01.2018,GBP,"5,320.00"
2028,Supplier 2028,GB,542410,DRINKING WATER DI PIPES,11,APPROVED,22.09.2017,14.02.2018,GBP,"26,007.41"
2029,Supplier 2029,GB,401199,BUILDING CONSTRUCTION,246,PREFERRED,22.09.2017,27.07.2018,GBP,"549,038.00"
2030,Supplier 2030,GB,801099,IT SERVICES,1,APPROVED,22.09.2017,02.07.2018,GBP,"12,461.00"
2031,Supplier 2031,GB,361013,SMALL INDUSTRIAL SUPPLIES,38,APPROVED,22.09.2017,27.07.2018,GBP,"1,914.71"
2032,Supplier 2032,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,1,APPROVED,22.09.2017,26.04.2018,GBP,"3,576.00"
2033,Supplier 2033,GB,641315,CONSTRUCTION MACHINERY MAINTENANCE,19,APPROVED,22.09.2017,27.07.2018,GBP,"25,776.48"
2034,Supplier 2034,GB,801199,SOFTWARE,19,PREFERRED,22.09.2017,27.07.2018,GBP,"68,604.68"
2035,Supplier 2035,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,93,APPROVED,22.09.2017,27.07.2018,GBP,"3,886.15"
2036,Supplier 2036,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,18,APPROVED,22.09.2017,27.07.2018,GBP,"4,975.12"
2037,Supplier 2037,GB,641811,TYRES VEHICLES HEAVIER THAN 3.5T,5,APPROVED,22.09.2017,30.05.2018,GBP,"1,401.25"
2038,Supplier 2038,GB,821099,CONSULTING SERVICES,1,APPROVED,22.09.2017,11.07.2018,GBP,"1,115.63"
2039,Supplier 2039,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,11,APPROVED,22.09.2017,25.07.2018,GBP,"2,201.60"
2040,Supplier 2040,GB,361615,FIRE DETECTION AND PROTECTION DEVICE MAINTENANCE,46,APPROVED,22.09.2017,27.07.2018,GBP,"225,677.33"
2041,Supplier 2041,GB,381099,ANALYSES AND LABORATORY,61,APPROVED,22.09.2017,27.07.2018,GBP,"28,143.60"
2042,Supplier 2042,GB,641314,CONSTRUCTION MACHINERY SPARE PARTS,9,APPROVED,22.09.2017,27.07.2018,GBP,"6,224.56"
2043,Supplier 2043,GB,641122,HEAVY VEHICLES SPARE PARTS,15,APPROVED,22.09.2017,27.06.2018,GBP,"4,319.21"
2044,Supplier 2044,GB,841210,COACHING,2,APPROVED,22.09.2017,21.03.2018,GBP,"1,370.00"
2045,Supplier 2045,GB,301099,CONTAINERS,6,APPROVED,22.09.2017,27.06.2018,GBP,"8,075.00"
2046,Supplier 2046,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,04.04.2018,GBP,"4,392.00"
2047,Supplier 2047,GB,641122,HEAVY VEHICLES SPARE PARTS,4,APPROVED,22.09.2017,27.06.2018,GBP,"1,628.56"
2048,Supplier 2048,GB,999999,UNCLASSIFIED,6,PREFERRED,22.09.2017,02.07.2018,GBP,"591,988.75"
2049,Supplier 2049,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,3,APPROVED,22.09.2017,28.02.2018,GBP,"1,135.00"
2050,Supplier 2050,GB,641315,CONSTRUCTION MACHINERY MAINTENANCE,62,APPROVED,22.09.2017,27.07.2018,GBP,"34,112.68"
2051,Supplier 2051,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,28.02.2018,GBP,800
2052,Supplier 2052,GB,381099,ANALYSES AND LABORATORY,1,APPROVED,22.09.2017,18.04.2018,GBP,61
2053,Supplier 2053,GB,641120,SPECIFIC EQUIPMENTS,15,APPROVED,22.09.2017,25.07.2018,GBP,"1,550.68"
2054,Supplier 2054,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,23,APPROVED,22.09.2017,18.07.2018,GBP,"84,337.96"
2055,Supplier 2055,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,2,APPROVED,22.09.2017,27.06.2018,GBP,270
2056,Supplier 2056,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,21,APPROVED,22.09.2017,27.07.2018,GBP,"18,352.13"
2057,Supplier 2057,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,10,APPROVED,22.09.2017,27.07.2018,GBP,"2,910.00"
2058,Supplier 2058,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,10,APPROVED,22.09.2017,28.03.2018,GBP,"63,598.75"
2059,Supplier 2059,GB,821099,CONSULTING SERVICES,13,APPROVED,22.09.2017,02.07.2018,GBP,"72,254.51"
2060,Supplier 2060,GB,821099,CONSULTING SERVICES,2,APPROVED,22.09.2017,26.04.2018,GBP,"30,649.00"
2061,Supplier 2061,GB,821099,CONSULTING SERVICES,2,APPROVED,22.09.2017,27.06.2018,GBP,"14,500.00"
2062,Supplier 2062,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,13,APPROVED,22.09.2017,13.06.2018,GBP,682.48
2063,Supplier 2063,GB,401199,BUILDING CONSTRUCTION,504,APPROVED,22.09.2017,27.07.2018,GBP,"249,715.76"
2064,Supplier 2064,GB,149999,CHEMICAL AND TREATMENT PRODUCTS,6,APPROVED,22.09.2017,29.05.2018,GBP,"5,643.12"
2065,Supplier 2065,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,4,APPROVED,22.09.2017,07.02.2018,GBP,"5,060.00"
2066,Supplier 2066,GB,821099,CONSULTING SERVICES,3,APPROVED,22.09.2017,30.05.2018,GBP,"1,028.89"
2067,Supplier 2067,GB,821012,ENVIRONMENTAL CONSULTING SERVICES,6,APPROVED,22.09.2017,11.07.2018,GBP,"21,630.70"
2068,Supplier 2068,GB,301710,OVERHEAD-TRAVELLING CRANE DOUBLE GIRDER - NEW MATERIAL,2,APPROVED,22.09.2017,02.05.2018,GBP,537.38
2069,Supplier 2069,GB,601016,WASTE TRUCK TRANSPORT,3,APPROVED,22.09.2017,11.04.2018,GBP,380
2070,Supplier 2070,GB,961301,ASSOCIATION SUBSCRITION,1,APPROVED,22.09.2017,28.03.2018,GBP,"3,532.00"
2071,Supplier 2071,GB,841214,TECHNICAL AND INDUSTRIAL TRAINING,6,APPROVED,22.09.2017,27.07.2018,GBP,"4,425.00"
2072,Supplier 2072,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,15,APPROVED,22.09.2017,27.07.2018,GBP,"15,165.29"
2073,Supplier 2073,GB,301711,OVERHEAD - TRAVELLING CRANE MAINTENANCE AND SERVICE,35,PREFERRED,22.09.2017,04.05.2018,GBP,"213,067.64"
2074,Supplier 2074,GB,261399,WATER,92,APPROVED,22.09.2017,27.07.2018,GBP,"14,573.76"
2075,Supplier 2075,GB,701710,RENT AND CHARGES,2,APPROVED,22.09.2017,23.05.2018,GBP,"17,540.00"
2076,Supplier 2076,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,29.01.2018,GBP,"3,409.33"
2077,Supplier 2077,GB,601016,WASTE TRUCK TRANSPORT,4,APPROVED,22.09.2017,09.05.2018,GBP,"5,800.00"
2078,Supplier 2078,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,46,APPROVED,22.09.2017,27.07.2018,GBP,"157,368.45"
2079,Supplier 2079,GB,321498,ELECTRICAL INSTALLATION SERVICES AND MAINTENANCE,214,APPROVED,22.09.2017,27.07.2018,GBP,"73,521.79"
2080,Supplier 2080,GB,961301,ASSOCIATION SUBSCRITION,2,APPROVED,22.09.2017,11.07.2018,GBP,200
2081,Supplier 2081,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,9,APPROVED,22.09.2017,27.06.2018,GBP,"1,540.80"
2082,Supplier 2082,GB,999999,UNCLASSIFIED,7,APPROVED,22.09.2017,27.06.2018,GBP,"19,983.65"
2083,Supplier 2083,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,29.01.2018,GBP,"2,300.00"
2084,Supplier 2084,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,5,APPROVED,22.09.2017,27.07.2018,GBP,923.12
2085,Supplier 2085,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,18,APPROVED,22.09.2017,27.07.2018,GBP,"4,692.00"
2086,Supplier 2086,GB,401099,CIVIL AND PUBLIC WORK,66,APPROVED,22.09.2017,27.07.2018,GBP,"78,372.41"
2087,Supplier 2087,GB,301099,CONTAINERS,35,PREFERRED,22.09.2017,27.07.2018,GBP,"246,906.62"
2088,Supplier 2088,GB,999999,UNCLASSIFIED,2,APPROVED,22.09.2017,28.02.2018,GBP,"34,291.95"
2089,Supplier 2089,GB,721415,"OTHER TRANSPORT (SUBWAY, …)",2,APPROVED,22.09.2017,02.07.2018,GBP,"4,775.00"
2090,Supplier 2090,GB,701710,RENT AND CHARGES,5,APPROVED,22.09.2017,27.07.2018,GBP,"25,000.00"
2091,Supplier 2091,GB,701901,FACILITY MANAGEMENT,20,APPROVED,22.09.2017,02.07.2018,GBP,"16,847.00"
2092,Supplier 2092,GB,601016,WASTE TRUCK TRANSPORT,"1,600",PREFERRED,22.09.2017,31.07.2018,GBP,"2,048,205.78"
2093,Supplier 2093,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,5,APPROVED,22.09.2017,29.01.2018,GBP,"15,945.00"
2094,Supplier 2094,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,87,APPROVED,22.09.2017,27.07.2018,GBP,"152,874.14"
2095,Supplier 2095,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,21,APPROVED,22.09.2017,27.07.2018,GBP,"7,480.32"
2096,Supplier 2096,GB,261399,WATER,1,APPROVED,22.09.2017,24.01.2018,GBP,848.12
2097,Supplier 2097,GB,361599,ELECTRIC AND ELECTRONICAL SMALL EQUIPMENT,2,APPROVED,22.09.2017,30.05.2018,GBP,694.85
2098,Supplier 2098,GB,381013,NOISE QUALITY CONTROL AND ANALYSIS,4,APPROVED,22.09.2017,28.02.2018,GBP,"3,453.53"
2099,Supplier 2099,GB,401099,CIVIL AND PUBLIC WORK,11,APPROVED,22.09.2017,27.07.2018,GBP,"14,070.00"
2100,Supplier 2100,GB,401216,BUILDING SITE BUNGALOW RENTAL AND PURCHASE,8,APPROVED,22.09.2017,27.07.2018,GBP,"5,749.20"
2101,Supplier 2101,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,"1,426",APPROVED,22.09.2017,27.07.2018,GBP,"25,852.35"
2102,Supplier 2102,GB,701901,FACILITY MANAGEMENT,3,APPROVED,22.09.2017,04.04.2018,GBP,392
2103,Supplier 2103,GB,702110,REPROGRAPHICS SERVICES,2,APPROVED,22.09.2017,27.07.2018,GBP,"1,180.00"
2104,Supplier 2104,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,3,APPROVED,22.09.2017,30.05.2018,GBP,"6,120.00"
2105,Supplier 2105,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,28.02.2018,GBP,"41,265.00"
2106,Supplier 2106,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,10,APPROVED,22.09.2017,02.07.2018,GBP,"26,995.01"
2107,Supplier 2107,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,125,APPROVED,22.09.2017,27.07.2018,GBP,"66,353.25"
2108,Supplier 2108,GB,301412,COMPOSTING EQUIPMENT - MAINTENANCE AND SERVICE,66,APPROVED,22.09.2017,27.07.2018,GBP,"14,562.67"
2109,Supplier 2109,GB,821012,ENVIRONMENTAL CONSULTING SERVICES,10,APPROVED,22.09.2017,27.07.2018,GBP,"12,171.45"
2110,Supplier 2110,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,07.03.2018,GBP,595
2111,Supplier 2111,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,14,APPROVED,22.09.2017,27.07.2018,GBP,"6,170.50"
2112,Supplier 2112,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,744,APPROVED,22.09.2017,27.07.2018,GBP,"33,496.28"
2113,Supplier 2113,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,5,APPROVED,22.09.2017,27.07.2018,GBP,480.99
2114,Supplier 2114,GB,362299,TOOLS,7,APPROVED,22.09.2017,27.07.2018,GBP,"9,698.08"
2115,Supplier 2115,GB,308022,INDUSTRIAL EQUIPMENT CLEANING,23,PREFERRED,22.09.2017,31.07.2018,GBP,"415,009.16"
2116,Supplier 2116,GB,841213,GENERAL SKILLS TRAINING,8,APPROVED,22.09.2017,27.07.2018,GBP,"10,020.00"
2117,Supplier 2117,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,33,APPROVED,22.09.2017,27.07.2018,GBP,"19,653.60"
2118,Supplier 2118,GB,641315,CONSTRUCTION MACHINERY MAINTENANCE,3,APPROVED,22.09.2017,21.02.2018,GBP,"1,731.20"
2119,Supplier 2119,GB,701099,SITE MAINTENANCE AND WORKS,8,APPROVED,22.09.2017,14.03.2018,GBP,"31,031.82"
2120,Supplier 2120,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,29,APPROVED,22.09.2017,27.07.2018,GBP,"17,070.16"
2121,Supplier 2121,GB,305612,STEAM TURBINE - MAINTENANCE AND SERVICE,6,PREFERRED,22.09.2017,02.07.2018,GBP,"38,486.00"
2122,Supplier 2122,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,2,APPROVED,22.09.2017,27.07.2018,GBP,132.8
2123,Supplier 2123,GB,381099,ANALYSES AND LABORATORY,2,APPROVED,22.09.2017,27.07.2018,GBP,"7,098.07"
2124,Supplier 2124,GB,999999,UNCLASSIFIED,5,APPROVED,22.09.2017,27.07.2018,GBP,"1,545.16"
2125,Supplier 2125,GB,641121,HEAVY VEHICLES BODIES AND EQUIPMENTS MAINTENANCE AND REPAIR SERVICES,66,APPROVED,22.09.2017,27.07.2018,GBP,"143,383.49"
2126,Supplier 2126,GB,841212,TRAINING: HSE - SAFETY,19,APPROVED,22.09.2017,27.07.2018,GBP,"188,168.00"
2127,Supplier 2127,GB,401199,BUILDING CONSTRUCTION,1,APPROVED,22.09.2017,02.01.2018,GBP,"2,390.85"
2128,Supplier 2128,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,33,APPROVED,22.09.2017,27.07.2018,GBP,"59,324.79"
2129,Supplier 2129,GB,701410,CLEANING SERVICES,13,APPROVED,22.09.2017,27.07.2018,GBP,"2,201.08"
2130,Supplier 2130,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,5,APPROVED,22.09.2017,27.07.2018,GBP,"3,034.21"
2131,Supplier 2131,GB,301799,LIFTING EQUIPMENTS,1,APPROVED,22.09.2017,27.06.2018,GBP,720.48
2132,Supplier 2132,GB,841214,TECHNICAL AND INDUSTRIAL TRAINING,4,APPROVED,22.09.2017,27.07.2018,GBP,"7,184.24"
2133,Supplier 2133,GB,641120,SPECIFIC EQUIPMENTS,1,APPROVED,22.09.2017,26.04.2018,GBP,425
2134,Supplier 2134,GB,601016,WASTE TRUCK TRANSPORT,1,APPROVED,22.09.2017,09.05.2018,GBP,500
2135,Supplier 2135,GB,306299,OPTICAL SEPARATOR,11,PREFERRED,22.09.2017,29.05.2018,GBP,"17,346.36"
2136,Supplier 2136,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,493,APPROVED,22.09.2017,27.07.2018,GBP,"118,263.92"
2137,Supplier 2137,GB,601016,WASTE TRUCK TRANSPORT,5,APPROVED,22.09.2017,27.07.2018,GBP,"6,520.00"
2138,Supplier 2138,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,27.06.2018,GBP,"3,442.50"
2139,Supplier 2139,GB,401199,BUILDING CONSTRUCTION,2,APPROVED,22.09.2017,26.04.2018,GBP,"3,922.10"
2140,Supplier 2140,GB,361910,LABORATORY EQUIPMENT,44,APPROVED,22.09.2017,27.07.2018,GBP,"7,571.55"
2141,Supplier 2141,GB,307011,OTHER PLANT AND PROCESS EQUIPMENTS,19,APPROVED,22.09.2017,27.07.2018,GBP,"36,328.11"
2142,Supplier 2142,GB,951099,RECYCLING PURCHASES / CO-PRODUCTS,9,APPROVED,22.09.2017,27.06.2018,GBP,"37,882.51"
2143,Supplier 2143,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,19,APPROVED,22.09.2017,27.07.2018,GBP,"45,625.66"
2144,Supplier 2144,GB,641311,CONSTRUCTION MACHINERY LONG TERM RENTAL,10,APPROVED,22.09.2017,27.07.2018,GBP,"3,018.85"
2145,Supplier 2145,GB,701212,SECURITY EQUIPMENT,11,APPROVED,22.09.2017,25.07.2018,GBP,"26,926.80"
2146,Supplier 2146,GB,801199,SOFTWARE,10,APPROVED,22.09.2017,02.07.2018,GBP,"65,684.83"
2147,Supplier 2147,GB,601199,SLUDGE AND WASTE COLLECTION AND TREATMENT,41,APPROVED,22.09.2017,27.07.2018,GBP,"18,096.35"
2148,Supplier 2148,GB,701710,RENT AND CHARGES,6,APPROVED,22.09.2017,16.05.2018,GBP,"1,800.00"
2149,Supplier 2149,GB,841213,GENERAL SKILLS TRAINING,1,APPROVED,22.09.2017,30.05.2018,GBP,95
2150,Supplier 2150,GB,401199,BUILDING CONSTRUCTION,8,APPROVED,22.09.2017,27.07.2018,GBP,"69,430.42"
2151,Supplier 2151,GB,401216,BUILDING SITE BUNGALOW RENTAL AND PURCHASE,9,APPROVED,22.09.2017,11.07.2018,GBP,"7,327.51"
2152,Supplier 2152,GB,301711,OVERHEAD - TRAVELLING CRANE MAINTENANCE AND SERVICE,24,APPROVED,22.09.2017,27.07.2018,GBP,"12,166.31"
2153,Supplier 2153,GB,309999,PLANT AND PROCESS EQUIPMENTS AND MAINTENANCE,4,APPROVED,22.09.2017,27.07.2018,GBP,"4,447.04"
2154,Supplier 2154,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,30.05.2018,GBP,220
2155,Supplier 2155,GB,999999,UNCLASSIFIED,1,APPROVED,22.09.2017,03.07.2018,GBP,202.98
2156,Supplier 2156,GB,401114,ROOFING / TIGHTNESS / CLADDING,3,APPROVED,22.09.2017,04.04.2018,GBP,"8,233.00"
2157,Supplier 2157,GB,801099,IT SERVICES,87,APPROVED,22.09.2017,31.07.2018,GBP,"269,278.06"
2158,Supplier 2158,GB,601016,WASTE TRUCK TRANSPORT,13,APPROVED,22.09.2017,27.06.2018,GBP,"10,811.00"
